threshold,min_strength,vol_multiplier,reward_risk,kalman_gate,initial_balance,final_balance,net_profit,total_return_pct,closed_trades,cashflows,win_rate_pct,loss_rate_pct,profit_factor,expectancy,avg_win,avg_loss,payoff_ratio,largest_win,largest_loss,max_consecutive_wins,max_consecutive_losses,max_drawdown_money,max_drawdown_pct,max_drawdown_bars,sharpe_ratio,period_sharpe_ratio,sortino_ratio,deflated_sharpe_probability,deflated_sharpe_z,dsr_trials,recovery_factor,mean_cashflow,std_cashflow,score
0.6,0.35,3.0,2.0,True,10000.0,13350.05978200442,3350.0597820044204,33.5005978200442,182,267,46.7032967032967,53.2967032967033,1.282682019440671,18.40692187914515,178.83579640352204,-122.17508157005105,1.4637665398322952,320.4996635432217,-165.51497932494567,6,9,-1182.7048812392186,-8.547731690928575,2951,2.862678125715781,0.018405034360881145,4.005569005183035,0.32906531812263773,-0.4424955686662118,81,2.8325407590220504,12.547040382039011,109.15099970739095,2.931239291984767
0.6,0.3,3.0,2.0,True,10000.0,13350.05978200442,3350.0597820044204,33.5005978200442,182,267,46.7032967032967,53.2967032967033,1.282682019440671,18.40692187914515,178.83579640352204,-122.17508157005105,1.4637665398322952,320.4996635432217,-165.51497932494567,6,9,-1182.7048812392186,-8.547731690928575,2951,2.862678125715781,0.018405034360881145,4.005569005183035,0.32906531812263773,-0.4424955686662118,81,2.8325407590220504,12.547040382039011,109.15099970739095,2.931239291984767
0.6,0.4,3.0,2.0,True,10000.0,13349.211550824071,3349.2115508240713,33.492115508240715,183,268,46.44808743169399,53.551912568306015,1.2821759999773767,18.3017024635195,179.04047660108358,-121.11458122722482,1.4782735058562697,320.4996635432217,-149.42563279070237,6,9,-1182.7048812392186,-8.548255733092336,2951,2.857236313446736,0.018370047283257043,4.003736398591625,0.3281229045186771,-0.4451023245252467,81,2.8318235630471253,12.497058025462943,108.83108219894098,2.9293492324036685
0.6,0.3,2.0,1.5,True,10000.0,14405.800339810537,4405.8003398105375,44.05800339810537,324,500,54.32098765432099,45.67901234567901,1.2162100989783842,13.598149196946187,140.81365587219955,-137.68515603849025,1.0227221286863686,336.97183177161105,-175.9164013617528,10,8,-1886.1039354631848,-11.588349271634177,2948,3.0543628783495054,0.019637434338716085,6.984429870044014,0.3741301286945667,-0.32093419798739176,81,2.335926592894029,8.811600679621131,104.98588405858928,2.825540632282601
0.6,0.35,2.0,1.5,True,10000.0,14405.800339810537,4405.8003398105375,44.05800339810537,324,500,54.32098765432099,45.67901234567901,1.2162100989783842,13.598149196946187,140.81365587219955,-137.68515603849025,1.0227221286863686,336.97183177161105,-175.9164013617528,10,8,-1886.1039354631848,-11.588349271634177,2948,3.0543628783495054,0.019637434338716085,6.984429870044014,0.3741301286945667,-0.32093419798739176,81,2.335926592894029,8.811600679621131,104.98588405858928,2.825540632282601
0.6,0.4,2.0,1.5,True,10000.0,14331.844706488764,4331.844706488764,43.318447064887636,326,502,53.987730061349694,46.012269938650306,1.21175265946937,13.28786719781839,140.84626001032467,-136.38064703552232,1.0327437438659404,336.97183177161105,-175.9164013617528,10,8,-1850.0383344859383,-11.444119510106503,2948,2.9930461382936744,0.019243210238742356,6.915893984742103,0.35836983746007733,-0.3628195659188657,81,2.3414891603813355,8.629172722089233,104.5489977916219,2.7982478639564077
0.7,0.3,2.0,2.5,True,10000.0,11805.615154306593,1805.6151543065935,18.056151543065923,84,120,42.857142857142854,57.14285714285714,1.3172449880503196,21.49541850364992,208.25453881129116,-118.57392172708103,1.7563266507337594,348.68163243754003,-151.41762539332194,4,8,-1123.0583989174756,-8.69747294187986,4456,2.082146455862612,0.013386757218804082,3.4540445572727263,0.17219770597656842,-0.9455161847769692,81,1.6077660396351956,15.046792952554942,119.34734710463178,2.0653849210853306
0.7,0.35,2.0,2.5,True,10000.0,11805.615154306593,1805.6151543065935,18.056151543065923,84,120,42.857142857142854,57.14285714285714,1.3172449880503196,21.49541850364992,208.25453881129116,-118.57392172708103,1.7563266507337594,348.68163243754003,-151.41762539332194,4,8,-1123.0583989174756,-8.69747294187986,4456,2.082146455862612,0.013386757218804082,3.4540445572727263,0.17219770597656842,-0.9455161847769692,81,1.6077660396351956,15.046792952554942,119.34734710463178,2.0653849210853306
0.7,0.4,2.0,2.5,True,10000.0,11805.615154306593,1805.6151543065935,18.056151543065923,84,120,42.857142857142854,57.14285714285714,1.3172449880503196,21.49541850364992,208.25453881129116,-118.57392172708103,1.7563266507337594,348.68163243754003,-151.41762539332194,4,8,-1123.0583989174756,-8.69747294187986,4456,2.082146455862612,0.013386757218804082,3.4540445572727263,0.17219770597656842,-0.9455161847769692,81,1.6077660396351956,15.046792952554942,119.34734710463178,2.0653849210853306
0.6,0.35,2.5,2.5,True,10000.0,12602.030647692081,2602.0306476920814,26.02030647692082,183,259,41.53005464480874,58.46994535519126,1.192766823027627,14.218746708699973,211.84688184970443,-126.15263899892936,1.6792901324204748,363.8943033873911,-166.54925374951745,6,9,-1808.4796910083132,-12.721361110168036,2485,2.179820518853876,0.014014733682302433,4.87661106542508,0.17784391900334934,-0.9236130094888948,81,1.4387945082431786,10.046450377189553,123.64864546025149,1.8857405050477833
