time,magic,approved,reason,volume,executive_stop,disaster_stop,requested_risk_cash,authorized_risk_cash,existing_portfolio_risk_cash,throttle
2024-01-18 12:00:00+00:00,6002,True,APPROVED,0.03,16593.0726875,16501.10725,269.24331400000347,220.71704999999784,212.8220999999976,1.0
2024-01-24 00:00:00+00:00,6001,True,APPROVED,0.04,17199.829062499997,17115.570749999995,270.8346010000035,269.62660000000324,220.71704999999784,1.0
2024-01-25 15:00:00+00:00,6001,True,APPROVED,0.04,17302.9661875,17220.272249999998,271.09022100000345,264.6206000000006,220.71704999999784,1.0
2024-01-29 08:00:00+00:00,6002,True,APPROVED,0.03,17184.296749999998,17096.735,270.5888940000035,210.14819999999963,0.0,1.0
2024-01-29 21:00:00+00:00,6001,True,APPROVED,0.03,17323.597124999997,17232.417499999996,270.54470850000354,218.8311000000016,0.0,1.0
2024-01-29 21:00:00+00:00,6002,True,APPROVED,0.03,17323.597124999997,17232.417499999996,270.54058350000355,218.8311000000016,218.8311000000016,1.0
2024-02-01 21:00:00+00:00,6001,True,APPROVED,0.02,17003.549812499994,16890.08774999999,270.1419465000035,181.53930000000256,0.0,1.0
2024-02-02 05:00:00+00:00,6002,True,APPROVED,0.03,17193.330249999995,17087.079999999994,270.30734150000353,255.0006000000023,181.53930000000256,1.0
2024-02-06 07:00:00+00:00,6001,True,APPROVED,0.04,17427.7320625,17353.96375,270.60461250000355,236.05860000000104,255.0006000000023,1.0
2024-02-07 17:00:00+00:00,6001,True,APPROVED,0.03,17488.827124999996,17399.738499999996,270.21619700000355,213.81270000000077,0.0,1.0
2024-02-07 17:00:00+00:00,6002,True,APPROVED,0.03,17488.827124999996,17399.738499999996,270.21207200000356,213.81270000000077,213.81270000000077,1.0
2024-02-14 17:00:00+00:00,6001,True,APPROVED,0.03,17332.300749999995,17223.851999999995,270.4140110000036,260.2770000000011,0.0,1.0
2024-02-15 19:00:00+00:00,6002,True,APPROVED,0.03,17571.862125000003,17480.055500000002,270.5538455000036,220.33589999999822,0.0,1.0
2024-02-22 01:00:00+00:00,6001,True,APPROVED,0.02,17346.124874999998,17222.546499999997,270.34237400000364,197.7254000000001,0.0,1.0
2024-02-22 07:00:00+00:00,6002,True,APPROVED,0.03,17468.8930625,17367.38975,270.3961670000037,243.60795,197.7254000000001,1.0
2024-02-26 14:00:00+00:00,6001,True,APPROVED,0.04,17751.6769375,17679.37925,270.87704350000365,231.35259999999835,243.60795,1.0
2024-02-29 15:00:00+00:00,6001,True,APPROVED,0.03,17757.9488125,17672.137749999998,270.6991685000037,205.94654999999983,0.0,1.0
2024-03-01 01:00:00+00:00,6002,True,APPROVED,0.03,17749.045062499998,17650.806749999996,270.7376105000037,235.77195000000137,205.94654999999983,1.0
2024-03-06 18:00:00+00:00,6001,True,APPROVED,0.03,17800.65675,17698.614999999998,270.9536315000037,244.90020000000078,0.0,1.0
2024-03-06 18:00:00+00:00,6002,True,APPROVED,0.03,17800.65675,17698.614999999998,270.94950650000374,244.90020000000078,244.90020000000078,1.0
2024-03-07 11:00:00+00:00,6001,True,APPROVED,0.03,17812.553187499994,17717.992249999996,270.4732025000037,226.94625000000087,0.0,1.0
2024-03-07 17:00:00+00:00,6002,True,APPROVED,0.02,17941.852999999996,17828.820999999993,270.74614700000376,180.8512000000017,226.94625000000087,1.0
2024-03-12 07:00:00+00:00,6001,True,APPROVED,0.03,17739.86725,17631.959,270.43937700000373,258.97979999999876,0.0,1.0
2024-03-12 07:00:00+00:00,6002,True,APPROVED,0.03,17739.86725,17631.959,270.43525200000374,258.97979999999876,258.97979999999876,1.0
2024-03-18 16:00:00+00:00,6001,True,APPROVED,0.03,17735.375125,17631.947500000002,270.5003280000038,248.22629999999845,0.0,1.0
2024-03-19 19:00:00+00:00,6001,True,APPROVED,0.02,17681.056124999996,17568.362499999996,270.3125805000038,180.30980000000127,0.0,1.0
2024-03-20 04:00:00+00:00,6002,True,APPROVED,0.03,17708.809499999996,17612.629999999997,270.28804150000377,230.83080000000047,180.30980000000127,1.0
2024-03-26 10:00:00+00:00,6002,True,APPROVED,0.05,18196.676874999997,18137.5905,270.6567245000038,236.3454999999995,0.0,1.0
2024-03-26 11:00:00+00:00,6001,True,APPROVED,0.05,18198.304687499996,18139.179249999994,270.65421200000384,236.50175000000309,236.3454999999995,1.0
2024-04-01 02:00:00+00:00,6001,True,APPROVED,0.03,18110.109,18021.059,269.87964700000384,213.71999999999827,0.0,1.0
2024-04-01 05:00:00+00:00,6002,True,APPROVED,0.04,18136.509124999997,18059.481499999998,269.86102150000386,246.4883999999991,213.71999999999827,1.0
2024-04-03 17:00:00+00:00,6001,True,APPROVED,0.03,17922.704375,17832.0085,269.5172465000039,217.67009999999863,0.0,1.0
2024-04-04 18:00:00+00:00,6002,True,APPROVED,0.03,18097.570187499998,18012.429249999997,269.75042300000393,204.3382500000007,217.67009999999863,1.0
2024-04-08 01:00:00+00:00,6001,True,APPROVED,0.02,17719.440062499998,17584.57475,268.74459387500394,215.78450000000012,0.0,1.0
2024-04-10 10:00:00+00:00,6001,True,APPROVED,0.04,17983.013124999998,17905.660499999998,268.69715087500396,247.52840000000143,0.0,1.0
2024-04-10 10:00:00+00:00,6002,True,APPROVED,0.04,17983.013124999998,17905.660499999998,268.691650875004,247.52840000000143,247.52840000000143,1.0
2024-04-11 18:00:00+00:00,6001,True,APPROVED,0.02,17740.367874999996,17609.815499999997,267.4529088750039,208.88380000000035,0.0,1.0
2024-04-11 18:00:00+00:00,6002,True,APPROVED,0.02,17740.367874999996,17609.815499999997,267.4501588750039,208.88380000000035,208.88380000000035,1.0
2024-04-15 15:00:00+00:00,6001,True,APPROVED,0.03,17823.896125,17720.5345,267.3489318750039,248.0678999999989,0.0,1.0
2024-04-22 20:00:00+00:00,6001,True,APPROVED,0.02,16849.5986875,16709.84125,266.726287125004,223.61189999999917,0.0,1.0
2024-04-23 20:00:00+00:00,6002,True,APPROVED,0.02,17160.1485,17044.415,266.962015125004,185.173599999999,223.61189999999917,1.0
2024-04-25 12:00:00+00:00,6002,True,APPROVED,0.03,17054.538374999996,16955.5205,266.61478512500395,237.64289999999892,0.0,1.0
2024-04-26 01:00:00+00:00,6001,True,APPROVED,0.02,17182.769625,17033.254500000003,266.68140312500395,239.22419999999838,0.0,1.0
2024-05-02 12:00:00+00:00,6001,True,APPROVED,0.02,17136.945125,17021.2145,266.822255125004,185.16900000000024,0.0,1.0
2024-05-03 04:00:00+00:00,6002,True,APPROVED,0.02,17221.7255625,17077.30675,266.990350125004,231.0701000000001,185.16900000000024,1.0
2024-05-10 01:00:00+00:00,6001,True,APPROVED,0.04,17892.194812499998,17811.476749999998,267.828954125004,258.2978000000003,0.0,1.0
2024-05-10 01:00:00+00:00,6002,True,APPROVED,0.04,17892.194812499998,17811.476749999998,267.823454125004,258.2978000000003,258.2978000000003,1.0
2024-05-14 21:00:00+00:00,6001,True,APPROVED,0.04,18104.0085,18033.229,267.95495412500406,226.49439999999888,0.0,1.0
2024-05-14 21:00:00+00:00,6002,True,APPROVED,0.04,18104.0085,18033.229,267.9494541250041,226.49439999999888,226.49439999999888,1.0
2024-05-20 16:00:00+00:00,6001,True,APPROVED,0.05,18486.6563125,18429.436749999997,268.92233812500405,228.87825000000157,0.0,1.0
2024-05-23 00:00:00+00:00,6002,True,APPROVED,0.05,18579.2054375,18513.37625,268.92244562500406,263.31674999999814,0.0,1.0
2024-05-23 01:00:00+00:00,6001,True,APPROVED,0.05,18597.38025,18530.728,268.9671806250041,266.60900000000044,263.31674999999814,1.0
2024-05-24 17:00:00+00:00,6001,True,APPROVED,0.03,18529.162,18430.203,267.9904156250041,237.5015999999974,0.0,1.0
2024-05-24 17:00:00+00:00,6002,True,APPROVED,0.03,18529.162,18430.203,267.98629062500413,237.5015999999974,237.5015999999974,1.0
2024-05-27 17:00:00+00:00,6001,True,APPROVED,0.05,18691.2694375,18631.446249999997,268.0058536250041,239.29275000000052,237.5015999999974,1.0
2024-06-03 06:00:00+00:00,6001,True,APPROVED,0.02,18228.814,18106.125,267.7519656250041,196.30239999999904,0.0,1.0
2024-06-04 21:00:00+00:00,6001,True,APPROVED,0.02,18286.953812499996,18165.181749999996,267.69495462500413,194.83530000000033,0.0,1.0
