magic,entry_time,exit_time,volume,entry_price,exit_price,executive_stop,disaster_stop,exit_reason,net_pnl,cash_after
6001,2022-06-17 20:00:00+00:00,2022-06-20 12:00:00+00:00,0.01,11295.679,11339.819,10799.900124999998,10634.640499999998,signal_exit,8.767999999999885,102464.68400000091
6002,2022-06-21 01:00:00+00:00,2022-06-22 07:00:00+00:00,0.02,11387.117,11388.797,10990.302875,10858.0315,signal_exit,0.5520000000001164,102465.2360000009
6001,2022-06-22 16:00:00+00:00,2022-06-28 01:00:00+00:00,0.02,11661.667,12030.877,11293.39225,11170.634,signal_exit,147.5640000000004,102612.74000000091
6002,2022-06-22 16:00:00+00:00,2022-06-28 17:00:00+00:00,0.02,11661.667,11755.288999999999,11293.39225,11170.634,signal_exit,37.32879999999975,102650.12880000091
6001,2022-07-04 08:00:00+00:00,2022-07-05 10:00:00+00:00,0.02,11529.539,11494.919,11108.28425,10967.866000000002,signal_exit,-13.968000000000321,102636.10080000092
6002,2022-07-05 01:00:00+00:00,2022-07-05 10:00:00+00:00,0.02,11664.557,11494.919,11298.797375000002,11176.877500000002,signal_exit,-67.97520000000034,102568.18560000091
6001,2022-07-05 20:00:00+00:00,2022-07-11 03:00:00+00:00,0.02,11729.319,12024.517,11370.924375,11251.4595,signal_exit,117.95920000000014,102686.08480000091
6002,2022-07-05 20:00:00+00:00,2022-07-11 15:00:00+00:00,0.02,11729.319,11855.257,11370.924375,11251.4595,signal_exit,50.25520000000004,102736.40000000091
6001,2022-07-15 02:00:00+00:00,2022-07-15 12:00:00+00:00,0.02,11784.009,11791.247,11313.051,11156.064999999999,signal_exit,2.7751999999997494,102739.17520000091
6001,2022-07-19 12:00:00+00:00,2022-07-22 17:00:00+00:00,0.03,11982.089,12431.989,11693.0525,11596.707,signal_exit,269.7599999999998,103008.87520000093
6002,2022-07-15 17:00:00+00:00,2022-07-22 20:00:00+00:00,0.02,11928.339,12356.409,11520.936,11385.135,signal_exit,171.1079999999999,103180.04320000093
6001,2022-07-27 16:00:00+00:00,2022-08-01 10:00:00+00:00,0.03,12402.309000000001,12897.249,12109.797750000003,12012.294000000004,signal_exit,296.78399999999925,103476.76720000093
