entry_time,exit_time,entry_i,exit_i,side,entry_price,exit_price,initial_lot,final_lot,pnl,reason,bars_held,partial_done,balance,tick_status,tick_entry_time,tick_exit_time,tick_entry_price,tick_exit_price,tick_pnl,tick_reason,tick_cashflows
2025-10-30 04:15:00,2025-10-30 05:30:00,35568,35573,SELL,4004.79,3978.94023345539,0.02,0.01,39.63226648923763,TP,5,True,10081.340064499704,OK,2025-10-30 04:15:00.123,2025-10-30 05:35:15.769,4004.865,3978.635,40.15999999999929,TP,2
2025-10-31 11:15:00,2025-10-31 12:45:00,35688,35694,BUY,3978.7,4001.4313543024823,0.02,0.01,34.8517091589755,TP,6,True,10116.191773658682,OK,2025-10-31 11:15:00.024,2025-10-31 12:46:51.723,3979.425,4001.595,34.109999999999566,TP,2
2025-11-24 13:45:00,2025-11-24 16:30:00,37166,37177,SELL,4112.43,4138.854768149602,0.04,0.04,-105.93907259840694,SL,11,False,10010.252701060275,OK,2025-11-24 13:45:00.367,2025-11-24 16:43:44.530,4112.505,4138.905,-105.83999999999854,SL,1
2026-01-04 18:15:00,2026-01-04 20:00:00,39608,39615,SELL,4369.56,4402.559687334349,0.03,0.03,-99.17906200304668,SL,7,False,9911.07363905723,OK,2026-01-04 18:15:00.049,2026-01-04 20:02:06.955,4369.635,4402.675,-99.2999999999999,SL,1
2026-01-15 08:45:00,2026-01-15 09:30:00,40402,40405,BUY,4589.82,4606.999646958704,0.04,0.02,52.024200062219975,TP,3,True,9963.097839119448,OK,2026-01-15 08:45:00.116,2026-01-15 09:30:29.407,4590.405,4607.158,51.72600000000217,TP,2
2026-01-25 18:15:00,2026-01-25 20:15:00,40978,40986,SELL,5020.49,5062.149497575899,0.02,0.02,-83.43899515179794,SL,8,False,9879.658843967649,OK,2026-01-25 18:15:00.264,2026-01-25 20:17:57.238,5020.565,5062.242,-83.47400000000118,SL,1
2026-01-27 15:15:00,2026-01-27 16:45:00,41154,41160,SELL,5141.360000000001,5188.686250004213,0.02,0.02,-94.77250000842572,SL,6,False,9784.886343959222,OK,2026-01-27 15:15:00.018,2026-01-27 16:45:00.522,5141.435,5188.735,-94.71999999999855,SL,1
2026-02-17 09:00:00,2026-02-17 09:30:00,42499,42501,BUY,4870.599999999999,4870.549999999999,0.02,0.01,24.927775474997254,SL,2,True,9809.81411943422,OK,2026-02-17 09:00:00.064,2026-02-17 09:44:01.730,4871.485,4870.465,23.72300000000076,SL,2
2026-02-23 09:45:00,2026-02-23 11:00:00,42870,42875,SELL,5190.45,5190.5,0.03,0.01,19.904087778584035,BE_AFTER_PARTIAL,5,True,9829.718207212802,OK,2026-02-23 09:45:00.012,2026-02-23 11:07:01.425,5190.525,5190.722,20.22299999999843,BE_AFTER_PARTIAL,2
2026-04-26 18:15:00,2026-04-26 20:45:00,46848,46858,BUY,4685.28,4685.23,0.03,0.01,8.040884618690434,BE_AFTER_PARTIAL,10,True,9837.75909183149,OK,2026-04-26 18:15:00.076,2026-04-26 20:58:26.595,4685.885,4694.275,16.53599999999853,TP,2
2026-04-28 01:15:00,2026-04-28 01:30:00,46968,46969,BUY,4652.23,4630.624184799976,0.05,0.05,-108.32907600011622,SL,1,False,9729.430015831374,OK,2026-04-28 01:15:00.763,2026-04-28 01:40:01.247,4652.855,4630.955,-109.79999999999818,SL,1
2026-05-10 18:15:00,2026-05-10 20:00:00,47768,47775,BUY,4687.16,4687.11,0.03,0.01,20.65936706401528,SL,7,True,9750.089382895389,OK,2026-05-10 18:15:00.421,2026-05-10 20:00:03.627,4687.775,4687.595,20.020000000001637,SL,2
2026-05-24 18:15:00,2026-05-24 23:30:00,48688,48709,SELL,4554.973,4559.270380892646,0.03,0.03,-13.072142677938864,TP,21,False,9737.01724021745,OK,2026-05-24 18:15:00.048,2026-05-24 23:44:21.575,4555.048,4559.185,-12.591000000001875,TP,1
